Hour,Bar
0.0,84.00398889793347
1.0,83.51350550037391
2.0,86.05472225765598
3.0,82.85985876793238
4.0,80.86412864099407
5.0,84.85447928379267
6.0,82.84235687894842
7.0,83.90851611945408
8.0,80.85144783898744
9.0,84.38912707165962
10.0,84.04754729689758
11.0,84.61305573682328
12.0,83.0092327519782
13.0,81.87626649816387
14.0,81.75736996515649
15.0,85.27262887900253
16.0,85.31639319114518
17.0,81.76950727062813
18.0,81.64287139123543
19.0,83.3437043864892
20.0,82.41551447506812
21.0,81.72527371162154
22.0,87.35697602515022
23.0,81.4431055009358
