Hour,Bar
0.0,86.9928333506284
1.0,82.1788557913361
2.0,83.34515201147762
3.0,85.07960010837716
4.0,85.40737697161703
5.0,82.18849366617059
6.0,82.04370820444917
7.0,82.57479387691892
8.0,85.42945029951265
9.0,81.31691404776177
10.0,84.7437007601871
11.0,83.22052298281515
12.0,78.31038268090948
13.0,80.8207681586805
14.0,81.52638491105694
15.0,80.15942525591642
16.0,83.95887929961691
17.0,84.91347420515116
18.0,82.8371001549128
19.0,81.5502192315665
20.0,82.06192744101156
21.0,79.75233920871665
22.0,84.40342359291125
23.0,82.0976083959317
